Dataset,a,LR,epochs,model,proximal,dlr,tol
MNIST,10,0.1,100,MLP,0.001,2,0.01
MNIST,1,0.1,100,MLP,0.001,2,0.01
MNIST,0.5,0.1,100,MLP,0.001,2,0.01
MNIST,0.1,0.1,100,MLP,0.001,2,0.01
MNIST,0.05,0.1,100,MLP,0.001,2,0.01
CIFAR10,10,0.1,300,LeNet,0.001,0.1,0.1
CIFAR10,1,0.1,300,LeNet,0.001,0.1,0.1
CIFAR10,0.5,0.1,400,LeNet,0.001,0.1,0.1
CIFAR10,0.1,0.1,400,LeNet,0.001,0.1,0.1
CIFAR10,0.05,0.1,600,LeNet,0.001,0.1,0.1
SVHN,1,0.3,200,LeNet,0.001,0.5,0.1
SVHN,10,0.3,200,LeNet,0.001,0.5,0.1
SVHN,0.5,0.3,300,LeNet,0.001,0.5,0.1
SVHN,0.05,0.1,600,LeNet,0.001,0.5,0.1
SVHN,0.1,0.1,600,LeNet,0.001,0.5,0.1
CIFAR100,10,0.1,500,ResNet,0.001,0.5,0.001
CIFAR100,1,0.1,500,ResNet,0.001,0.5,0.001
CIFAR100,0.5,0.1,600,ResNet,0.001,0.5,0.001
CIFAR100,0.1,0.1,700,ResNet,0.001,0.5,0.001
CIFAR100,0.05,0.1,900,ResNet,0.001,0.5,0.001
Tiny-ImageNet,10,0.3,500,ResNet,0.001,0.5,0.1
Tiny-ImageNet,1,0.3,500,ResNet,0.001,0.5,0.1
Tiny-ImageNet,0.5,0.3,600,ResNet,0.001,0.5,0.1
Tiny-ImageNet,0.1,0.3,900,ResNet,0.001,0.5,0.1
Tiny-ImageNet,0.05,0.3,1100,ResNet,0.001,0.5,0.1
